,SA2_MAIN16,Neighbour0
941,111011209,111011214
942,111011209,111031233
943,111011209,111031225
944,111011209,111021215
945,111011209,111021217
946,111011210,111011208
947,111011210,111011213
948,111011210,111011214
949,111011210,111011209
950,111011210,111011206
951,111011211,111011208
952,111011211,111011206
953,111011212,102021050
954,111011213,111011210
955,111011213,111011214
956,111011213,111011206
957,111011214,111011210
958,111011214,111011213
959,111011214,111011209
960,111011214,111021215
961,111021215,111011214
962,111021215,111011209
963,111021215,111021221
964,111021215,111021219
965,111021215,111021217
966,111021216,111021218
967,111021217,111031226
968,111021217,111031233
969,111021217,111011209
970,111021217,111021221
971,111021217,111021215
972,111021218,106011109
973,111021218,102021050
974,111021218,111021220
975,111021218,111021221
976,111021218,111021219
977,111021218,102021045
978,111021218,102021049
979,111021218,111021216
980,111021219,111021220
981,111021219,111021221
982,111021219,111021215
983,111021219,111021218
984,111021220,111021219
985,111021220,111021218
986,111021221,106011109
987,111021221,111031226
988,111021221,111021219
989,111021221,111021215
990,111021221,111021217
991,111021221,111021218
992,111031222,111031228
993,111031222,111031224
994,111031222,111011208
995,111031222,111011209
996,111031222,111031225
997,111031223,106011109
998,111031223,106021118
999,111031223,106031122
1000,111031223,111031231
1001,111031223,111031226
1002,111031224,111031235
1003,111031224,111031227
1004,111031224,111031228
1005,111031224,111031222
1006,111031224,111031229
1007,111031224,111031225
1008,111031224,111031234
1009,111031225,111031231
1010,111031225,111031222
1011,111031225,111031224
1012,111031225,111031233
1013,111031225,111011209
1014,111031225,111031234
1015,111031226,106011109
1016,111031226,111031231
1017,111031226,111031223
1018,111031226,111031233
1019,111031226,111021221
1020,111031226,111021217
1021,111031227,111031235
1022,111031227,111031230
1023,111031227,111031231
1024,111031227,111031224
1025,111031227,111031234
1026,111031228,111031222
1027,111031228,111031229
1028,111031228,111031224
1029,111031228,111011208
1030,111031229,111031235
1031,111031229,111031228
1032,111031229,111031224
1033,111031230,111031235
1034,111031230,111031232
1035,111031230,111031227
1036,111031231,111031227
1037,111031231,111031226
1038,111031231,111031223
1039,111031231,111031233
1040,111031231,111031225
1041,111031231,111031234
1042,111031232,106031125
1043,111031232,111031230
1044,111031233,111031231
1045,111031233,111031226
1046,111031233,111011209
1047,111031233,111031225
1048,111031233,111021217
1049,111031234,111031227
1050,111031234,111031231
1051,111031234,111031224
1052,111031234,111031225
1053,111031235,111031230
1054,111031235,111031227
1055,111031235,111031229
1056,111031235,111031224
1057,112011236,112011242
1058,112011236,112011237
1059,112011237,112011236
1060,112011237,112011242
1061,112011237,112011240
1062,112011237,112021249
1063,112011237,112011238
1064,112011237,112011241
1065,112011238,112011240
1066,112011238,112021249
1067,112011238,112011237
1068,112011238,112011243
1069,112011238,112011239
1070,112011239,112031253
1071,112011239,112011240
1072,112011239,112011238
1073,112011239,112011243
1074,112011240,112011242
1075,112011240,112011237
1076,112011240,112011238
1077,112011240,112011239
1078,112011241,112021249
1079,112011241,112011237
1080,112011241,104011082
1081,112011241,112021245
1082,112011242,112011236
1083,112011242,112011240
1084,112011242,112011237
1085,112011243,112031252
1086,112011243,112031253
1087,112011243,112021249
1088,112011243,112011238
1089,112011243,112011239
1090,112021244,112021245
1091,112021245,112021249
1092,112021245,112021244
1093,112021245,104011082
1094,112021245,112011241
1095,112021245,110021194
1096,112021245,104011081
1097,112021245,112021247
1098,112021246,112021249
1099,112021246,112021248
1100,112021247,112031252
1101,112021247,112021249
1102,112021247,110021194
1103,112021247,112021245
1104,112021248,112021249
1105,112021248,112021246
1106,112021249,112031252
1107,112021249,112011237
1108,112021249,112021248
1109,112021249,112021246
1110,112021249,112011238
1111,112021249,112011243
1112,112021249,112011241
1113,112021249,112021245
1114,112021249,112021247
1115,112031250,112031252
1116,112031250,112031253
1117,112031250,112031550
1118,112031250,112031551
1119,112031251,112031252
1120,112031252,112031251
1121,112031252,112031250
1122,112031252,112031253
1123,112031252,112031254
1124,112031252,112031551
1125,112031252,112021249
1126,112031252,112011243
1127,112031252,112021247
1128,112031253,112031252
1129,112031253,112031250
1130,112031253,112011243
1131,112031253,112011239
1132,112031254,112031252
1133,112031254,112031551
1134,112031550,112031250
1135,112031550,112031551
1136,112031550,112031552
1137,112031551,112031252
1138,112031551,112031250
1139,112031551,112031254
1140,112031551,112031550
1141,112031552,112031550
1142,113011256,113011257
1143,113011257,103021069
1144,113011257,109021177
1145,113011257,105021098
1146,113011257,105011093
1147,113011257,103021062
1148,113011257,113011258
1149,113011257,113011256
1150,113011257,113011259
1151,113011257,109031183
1152,113011257,109031185
1153,113011258,113011257
1154,113011258,113011259
1155,113011259,103021069
1156,113011259,113011257
1157,113011259,113011258
1158,113011259,113031266
1159,113011259,113031271
1160,113011259,109031181
1161,113011259,109031185
1162,113021260,113031271
1163,113021260,109011175
1164,113021260,101031016
1165,113021260,101031015
1166,113021260,113021262
1167,113021261,113021262
1168,113021262,113031271
1169,113021262,101031015
1170,113021262,113021260
1171,113021262,101061542
1172,113021262,113021261
1173,113021262,113031264
1174,113031263,113031265
1175,113031263,113031266
1176,113031263,101061542
1177,113031263,101061544
1178,113031263,113031264
1179,113031264,113031265
